State,Year,Cases
Alabama,1999,0
Alaska,1999,0
Arizona,1999,0
Arkansas,1999,0
California,1999,0
Colorado,1999,0
Connecticut,1999,0
Delaware,1999,0
Dist. of Columbia,1999,0
Florida,1999,0
Georgia,1999,0
Hawaii,1999,0
Idaho,1999,0
Illinois,1999,0
Indiana,1999,0
Iowa,1999,0
Kansas,1999,0
Kentucky,1999,0
Louisiana,1999,0
Maine,1999,0
Maryland,1999,0
Massachusetts,1999,0
Michigan,1999,0
Minnesota,1999,0
Mississippi,1999,0
Missouri,1999,0
Montana,1999,0
Nebraska,1999,0
Nevada,1999,0
New Hampshire,1999,0
New Jersey,1999,0
New Mexico,1999,0
New York,1999,59
North Carolina,1999,0
North Dakota,1999,0
Ohio,1999,0
Oklahoma,1999,0
Oregon,1999,0
Pennsylvania,1999,0
Puerto Rico,1999,0
Rhode Island,1999,0
South Carolina,1999,0
South Dakota,1999,0
Tennessee,1999,0
Texas,1999,0
Utah,1999,0
Vermont,1999,0
Virginia,1999,0
Washington,1999,0
West Virginia,1999,0
Wisconsin,1999,0
Wyoming,1999,0
Alabama,2000,0
Alaska,2000,0
Arizona,2000,0
Arkansas,2000,0
California,2000,0
Colorado,2000,0
Connecticut,2000,0
Delaware,2000,0
Dist. of Columbia,2000,0
Florida,2000,0
Georgia,2000,0
Hawaii,2000,0
Idaho,2000,0
Illinois,2000,0
Indiana,2000,0
Iowa,2000,0
Kansas,2000,0
Kentucky,2000,0
Louisiana,2000,0
Maine,2000,0
Maryland,2000,0
Massachusetts,2000,0
Michigan,2000,0
Minnesota,2000,0
Mississippi,2000,0
Missouri,2000,0
Montana,2000,0
Nebraska,2000,0
Nevada,2000,0
New Hampshire,2000,0
New Jersey,2000,5
New Mexico,2000,0
New York,2000,14
North Carolina,2000,0
North Dakota,2000,0
Ohio,2000,0
Oklahoma,2000,0
Oregon,2000,0
Pennsylvania,2000,0
Puerto Rico,2000,0
Rhode Island,2000,0
South Carolina,2000,0
South Dakota,2000,0
Tennessee,2000,0
Texas,2000,0
Utah,2000,0
Vermont,2000,0
Virginia,2000,0
Washington,2000,0
West Virginia,2000,0
Wisconsin,2000,0
Wyoming,2000,0
Alabama,2001,2
Alaska,2001,0
Arizona,2001,0
Arkansas,2001,0
California,2001,0
Colorado,2001,0
Connecticut,2001,6
Delaware,2001,0
Dist. of Columbia,2001,0
Florida,2001,12
Georgia,2001,6
Hawaii,2001,0
Idaho,2001,0
Illinois,2001,0
Indiana,2001,0
Iowa,2001,0
Kansas,2001,0
Kentucky,2001,0
Louisiana,2001,1
Maine,2001,0
Maryland,2001,6
Massachusetts,2001,3
Michigan,2001,0
Minnesota,2001,0
Mississippi,2001,0
Missouri,2001,0
Montana,2001,0
Nebraska,2001,0
Nevada,2001,0
New Hampshire,2001,0
New Jersey,2001,12
New Mexico,2001,0
New York,2001,13
North Carolina,2001,0
North Dakota,2001,0
Ohio,2001,0
Oklahoma,2001,0
Oregon,2001,0
Pennsylvania,2001,3
Puerto Rico,2001,0
Rhode Island,2001,0
South Carolina,2001,0
South Dakota,2001,0
Tennessee,2001,0
Texas,2001,0
Utah,2001,0
Vermont,2001,0
Virginia,2001,0
Washington,2001,0
West Virginia,2001,0
Wisconsin,2001,0
Wyoming,2001,0
Alabama,2002,34
Alaska,2002,0
Arizona,2002,0
Arkansas,2002,32
California,2002,1
Colorado,2002,6
Connecticut,2002,10
Delaware,2002,0
Dist. of Columbia,2002,14
Florida,2002,28
Georgia,2002,28
Hawaii,2002,0
Idaho,2002,0
Illinois,2002,553
Indiana,2002,180
Iowa,2002,27
Kansas,2002,22
Kentucky,2002,53
Louisiana,2002,204
Maine,2002,0
Maryland,2002,22
Massachusetts,2002,19
Michigan,2002,557
Minnesota,2002,16
Mississippi,2002,162
Missouri,2002,126
Montana,2002,2
Nebraska,2002,84
Nevada,2002,0
New Hampshire,2002,0
New Jersey,2002,16
New Mexico,2002,0
New York,2002,68
North Carolina,2002,2
North Dakota,2002,3
Ohio,2002,310
Oklahoma,2002,16
Oregon,2002,0
Pennsylvania,2002,42
Puerto Rico,2002,0
Rhode Island,2002,1
South Carolina,2002,1
South Dakota,2002,17
Tennessee,2002,47
Texas,2002,202
Utah,2002,0
Vermont,2002,0
Virginia,2002,16
Washington,2002,0
