State,Year,Cases
Alabama,1999,0
Alaska,1999,0
Arizona,1999,0
Arkansas,1999,0
California,1999,0
Colorado,1999,0
Connecticut,1999,0
Delaware,1999,0
"Washington, D.C.",1999,0
Florida,1999,0
Georgia,1999,0
Hawaii,1999,0
Idaho,1999,0
Illinois,1999,0
Indiana,1999,0
Iowa,1999,0
Kansas,1999,0
Kentucky,1999,0
Louisiana,1999,0
Maine,1999,0
Maryland,1999,0
Massachusetts,1999,0
Michigan,1999,0
Minnesota,1999,0
Mississippi,1999,0
Missouri,1999,0
Montana,1999,0
Nebraska,1999,0
Nevada,1999,0
New Hampshire,1999,0
New Jersey,1999,0
New Mexico,1999,0
New York,1999,62
North Carolina,1999,0
North Dakota,1999,0
Ohio,1999,0
Oklahoma,1999,0
Oregon,1999,0
Pennsylvania,1999,0
Puerto Rico,1999,0
Rhode Island,1999,0
South Carolina,1999,0
South Dakota,1999,0
Tennessee,1999,0
Texas,1999,0
Utah,1999,0
Vermont,1999,0
Virginia,1999,0
Washington,1999,0
West Virginia,1999,0
Wisconsin,1999,0
Wyoming,1999,0
Alabama,2000,0
Alaska,2000,0
Arizona,2000,0
Arkansas,2000,0
California,2000,0
Colorado,2000,0
Connecticut,2000,1
Delaware,2000,0
"Washington, D.C.",2000,0
Florida,2000,0
Georgia,2000,0
Hawaii,2000,0
Idaho,2000,0
Illinois,2000,0
Indiana,2000,0
Iowa,2000,0
Kansas,2000,0
Kentucky,2000,0
Louisiana,2000,0
Maine,2000,0
Maryland,2000,0
Massachusetts,2000,0
Michigan,2000,0
Minnesota,2000,0
Mississippi,2000,0
Missouri,2000,0
Montana,2000,0
Nebraska,2000,0
Nevada,2000,0
New Hampshire,2000,0
New Jersey,2000,6
New Mexico,2000,0
New York,2000,14
North Carolina,2000,0
North Dakota,2000,0
Ohio,2000,0
Oklahoma,2000,0
Oregon,2000,0
Pennsylvania,2000,0
Puerto Rico,2000,0
Rhode Island,2000,0
South Carolina,2000,0
South Dakota,2000,0
Tennessee,2000,0
Texas,2000,0
Utah,2000,0
Vermont,2000,0
Virginia,2000,0
Washington,2000,0
West Virginia,2000,0
Wisconsin,2000,0
Wyoming,2000,0
Alabama,2001,2
Alaska,2001,0
Arizona,2001,0
Arkansas,2001,0
California,2001,0
Colorado,2001,0
Connecticut,2001,6
Delaware,2001,0
"Washington, D.C.",2001,0
Florida,2001,12
Georgia,2001,6
Hawaii,2001,0
Idaho,2001,0
Illinois,2001,0
Indiana,2001,0
Iowa,2001,0
Kansas,2001,0
Kentucky,2001,0
Louisiana,2001,1
Maine,2001,0
Maryland,2001,6
Massachusetts,2001,3
Michigan,2001,0
Minnesota,2001,0
Mississippi,2001,0
Missouri,2001,0
Montana,2001,0
Nebraska,2001,0
Nevada,2001,0
New Hampshire,2001,0
New Jersey,2001,12
New Mexico,2001,0
New York,2001,15
North Carolina,2001,0
North Dakota,2001,0
Ohio,2001,0
Oklahoma,2001,0
Oregon,2001,0
Pennsylvania,2001,3
Puerto Rico,2001,0
Rhode Island,2001,0
South Carolina,2001,0
South Dakota,2001,0
Tennessee,2001,0
Texas,2001,0
Utah,2001,0
Vermont,2001,0
Virginia,2001,0
Washington,2001,0
West Virginia,2001,0
Wisconsin,2001,0
Wyoming,2001,0
Alabama,2002,49
Alaska,2002,0
Arizona,2002,0
Arkansas,2002,43
California,2002,1
Colorado,2002,14
Connecticut,2002,17
Delaware,2002,1
"Washington, D.C.",2002,34
Florida,2002,28
Georgia,2002,44
Hawaii,2002,0
Idaho,2002,0
Illinois,2002,884
Indiana,2002,293
Iowa,2002,54
Kansas,2002,22
Kentucky,2002,75
Louisiana,2002,329
Maine,2002,0
Maryland,2002,36
Massachusetts,2002,23
Michigan,2002,614
Minnesota,2002,48
Mississippi,2002,192
Missouri,2002,168
Montana,2002,2
Nebraska,2002,152
Nevada,2002,0
New Hampshire,2002,0
New Jersey,2002,24
New Mexico,2002,0
New York,2002,82
North Carolina,2002,2
North Dakota,2002,17
Ohio,2002,441
Oklahoma,2002,21
Oregon,2002,0
Pennsylvania,2002,62
Puerto Rico,2002,0
Rhode Island,2002,1
South Carolina,2002,1
South Dakota,2002,37
Tennessee,2002,56
Texas,2002,202
Utah,2002,0
Vermont,2002,1
Virginia,2002,29
Washington,2002,0
